actor,text
Jesse,"Sooner or later, this was gonna happen. You want your exponential growth, guys are gonna get busted. Simple as that."
Walter,"So how about we get him a real attorney? I mean, what the hell is this? This is who he hires?"
Jesse,What? Are you kidding me? This is the guy you want. This is the guy I'd hire.
Walter,"Oh, it's the guy you'd hire."
Jesse,"Look, you remember Emilio? This dude got Emilio off, like, twice. Both times, they had him dead to rights, yo. And then poof! Dude's like Houdini. Seriously, when the going gets tough, you don't want a criminal lawyer. You want a ""criminal"" lawyer. Know what I'm saying? Look, we're in good shape, Mr. White. Badger's way too loyal to roll. Plus he's scared shitless of me. We pay four large. Cost of business. Take it out of his payroll. And it's only his first dealing rap, so worst case scenario? They plead him out, he does five months picking up litter in an orange jumpsuit."
Walter,So who goes inside? I don't need them seeing my face.
Jesse,I don't need them seeing my face.
Walter,Why not? You look like his typical clientele.
Jesse,Dick.
Walter,Fine. We'll flip for it. Call it.
Jesse,Heads.
Francesca,Mayhew? Mr. Mayhew?
Saul,"Mr. Mayhew. Nice of you to come down. Please. Look at you. Should I call the FBI and tell them I found D.B. Cooper? Joking. Please, come on. Come on. Please. Saul Goodman. Please sit. So it's a shame that we have to meet under these circumstances. I believe you have something for me? Mayhew. Is that Irish or English?"
Walter,Irish.
Saul,"Faith and begorrah! A fellow potato-eater. My real name's McGill. The Jew thing I just do for the homeboys. They all want a pipe-hittin' member of the tribe, so to speak. I digress. Good things are happening. Fact is, your nephew's gonna get out in no time."
Walter,That's wonderful.
Saul,"There's still a few details to be ironed out, but now that the DEA is involved, I think he's looking at time served and probation. So leave your number with Francesca, and we'll be in touch."
Walter,"Excuse me, the DEA?"
Saul,"That's the Drug Enforcement Administration. The feds. I hope that I'm not the breaker of bad news, but your nephew got mixed up with some pretty nasty customers."
Walter,I understand that. But what does that have to do with the DEA?
Saul,"They're after some mystery man, some heavy-hitter that goes by the name Heisenberg. They want this guy like the ax wants the turkey. Seems young Brandon may have information that could lead to his arrest. Jesus, cheer up! This is good news. I mean, Brandon fell head-first into the doo-doo pile and came up smelling like Paco Rabanne."
Walter,"Look, look. I just think that we should review our options."
Saul,"Options? I'm gonna tell you what your options are. And you got a grand total of two. Option A, Brandon takes the deal. Option B, Brandon goes up to the penitentiary and gets his rectum resized about yay big."
Walter,"Look, look. What about reprisals? I mean, if Badger, if Brandon informs on this Heisenberg I mean, what if, God forbid, that they decide to take revenge?"
Saul,"What have you been telling him? The kid keeps spouting off about ""if I talk, they'll k*ll me."" Right now, he's the only thing holding up this deal."
Walter,Good.
Saul,"No, that's not good. That's terrible. Trust me, sir, your nephew won't last in prison two weeks. You let him take his chances on the outside. Maybe I can work in some witness protection."
Walter,"No, look, look. These are vicious, desperate people. I've been told that one of them k*lled another man by crushing his head with an ATM machine."
Saul,"People love to take credit for the fun ones. The guy who got his head smooshed used to be a client of mine. His wife k*lled him, all right? It was open and shut. Trust me, you folks have nothing to worry about, okay? I'm gonna set your nephew straight, get him singing like a canary, all's right with the world."
Walter,"$10,000. Cash to you. I'm not saying to throw the case. Just no talking to the DEA."
Saul,"Are you saying what I think you're saying?
Scene  Parking Lot"
Jesse,What's it going to be? That dude wouldn't take a bribe? That dude in there? Saul Goodman we're talking about?
Walter,"""Morally outraged,"" he said. Threatened to call the police."
Jesse,And Badger's gonna spill?
Walter,Like the Exxon Valdez.
Jesse,So what do we do about it?
Saul,"Francesca, how about I follow you home?"
Francesca,No!
Saul,"For safety! What? God, you are k*ll*ing me with that booty."
Saul,"Talk to me, guys! Come on. Just tell me what you want! Jesus! No no no! It wasn't me! It was Ignacio! He's the one! ¡Siempre! ¡Soy amigo! ¡Siempre soy amigo del cartel!"
Jesse,"Shut up! Shut up! All right, just speak English."
Saul,Lalo didn't send you? No Lalo?
Jesse,Who?
Saul,"Thank God! I thought...what can I do for you, gentlemen? Anything! Just tell me what you need."
Jesse,"This afternoon, an associate of ours offered you $10,000. You should have taken it!"
Saul,Wait a minute. This is in regards to what's-his-name?
Jesse,Badger! Brandon Mayhew.
Saul,"The uncle. That was your guy? No offense, guys, but I don't take bribes from strangers, you know? Better safe than sorry. That's my motto. But I'll take your money! Sure!"
Jesse,"Nah. That offer's expired, yo."
Saul,"It was kind of low anyways. But okay, okay, I'll take it. Just tell me what you need. I'm easy. I'm going to keep a happy thought and assume this is just a negotiating tactic."
Jesse,"All right, listen to me very carefully. You are going to give Badger Mayhew the best legal representation ever. But no deals with the DEA! All right? Badger will not identify anyone to anybody. If he does, you're dead!"
Saul,"Why don't you just k*ll Badger? Follow me, guys, but if a mosquito's buzzing around you, it bites you on the ass, you don't go gunning for the mosquito's attorney. You go grab a flyswatter. I mean, so to speak. I mean, all due respect, do I have to spell this out for you?"
Jesse,"We're not k*ll*ing Badger, yo!"
Saul,"Then you got real problems. 'Cause the DEA is gonna come down on your boy like a proverbial ton of bricks. I don't think I'm going out on a limb here, but he's not gonna like prison. He's gonna sing like Celine Dion regardless of what you do to me. Mr. Mayhew? I recognize your cough. Take that mask off. Get some air. Go on. Take it easy! Breathe in, breathe out. I'm gonna stand up, all right? 'Cause I got bad knees. That's better. Now listen. The three of us are gonna work this out."
Walter,How?
Saul,"First things first, you're gonna put a dollar in my pocket, both of you. You want attorney-client privilege? So that everything you say is strictly between us. I mean it! Put a dollar in my pocket. Come on, make it official. Come on, do it! That's it. Come on. Just a dollar. All right, now you, ski bum. Come on. Give with the dollar. Go on. Be smart. What?"
Jesse,All I got's a 5.
Saul,"I'll take a 5! Come on, already. Come on. Be cool. You're now both officially represented by Saul Goodman and Associates. Your secrets are safe with me under threat of disbarment. Take the ski mask off. I feel like I'm talking to the Weather Underground."
Walter,Do it.
Saul,So if a prison shanking is completely off the table and we're sure of that?
Jesse,No shanking!
Saul,Then the way I see it is somebody's going to prison. It's just a matter of who.
Hank,"All right. Lame-ass TV ads aside, your lawyer here, he cooked you up a pretty k*ller deal. Time served, no probation. He's pretty slick. Couldn't believe the judge went for it. Don't get cocky. You ain't home free yet. You don't give us the name of your supplier, you're going nowhere."
Saul,"Agent, the tough guy act is unnecessary. This young man is cooperating fully."
Hank,Is that right? You cooperating? Let's start with a name.
Badger,He just goes by Heisenberg.
Hank,How old's this Heisenberg?
Badger,Old. Like 50 or 70 or something.
Hank,Height?
Badger,"Average, I guess. Medium height, medium weight."
Hank,What color hair?
Badger,No hair. Dude's balder than you.
Saul,"1963, James Edward Kilkelly is convicted of stealing a vending machine. 1975, breaking and entering. 1982, grand theft auto. 1984, armed robbery. 1987, 1992. You get the idea. And here he is today. Better known today as Jimmy In-'n-Out. City, State, and Federal. He's spent 44 of the last 58 years inside. An entire life behind bars. Jimmy provides a very special service. For a price, Jimmy will go to prison for you."
Jesse,On purpose? The guy goes to prison on purpose?
Saul,"He's actually more comfortable inside. The outside world hasn't been too kind to him. Sometime during the Clinton administration, Jimmy figured out how he could use his talents to turn a profit."
Walter,When does all this happen?
Saul,"It's already happening. The buy is set for tomorrow. Cops bust Jimmy, Badger gets out, everybody's happy, and all it's gonna cost you is 80,000 and one pound of your finest meth."
Walter,"$80,000 for eight years of his life, huh?"
Saul,"First of all, he's not gonna do eight years. I'm gonna represent him, and I guarantee there's gonna be some unexpected problems with the prosecution's case. Secondly, he gets 30."
Walter,You get 50? For what?
Saul,"For facilitating. Who's taking a bigger risk? He likes prison. You did bring the cash, didn't you? Look, if this option is too expensive, you can still always Badger in the chow line. Conscience gets expensive, doesn't it? All right."
Cop,There's our boy. Right on time.
Jesse,Go back.
Walter,What? All right. So what do you think? Did they see us?
Jesse,I think we're good. Badger looks like he's gonna throw up.
Walter,Give me those back. Just give them to me! Where the hell is Jimmy? He should have been here ten minutes ago.
Jesse,You think Jimmy's actually for real? A guy who wants to be in prison?
Walter,There's more than one kind of prison.
Jesse,What the hell is that supposed to mean?
Walter,Wait a minute.
Jesse,What? What? Let me see. Who the hell is that?
Walter,I don't know.
Cop,"Mr. Heisenberg, I presume. Time to move?"
Hank,Not till we see the exchange.
Jesse,What? Now he shows.
Badger,"Okay, let's do this."
Jesse,Oh my God. Jimmy's on the wrong bench. Crap! We are screwed! What are you doing?
Cop,I don't get it. What's the holdup?
Badger,"Where's the stuff, man?"
Jesse,Where are we going?
Walter,Just shut up. Get out. Go stop him.
Jesse,"The DEA is right there. If they see me, we're screwed."
Walter,Get out. I'll do something.
Jesse,What?
Walter,"Go! Hank, I thought that was you!"
Cop,"Schrader, I'm blocked."
Hank,Not a good time.
Walter,How you doing? Are you feeling okay?
Cop,"Schrader, I'm blocked."
Hank,We're working. You gotta get out of here.
Walter,You're working? Like DEA working? Is something going down?
Jesse,Wrong guy! Wrong guy! Other bench.
Hank,Move your ass now!
Walter,Okay. I'll go and leave you alone.
Hank,We'll talk about it later. Just floor it! Floor it!
Walter,Forward is better? I'll be out of the way then? I'm sorry. All right? I'm sorry. I'll leave you alone.
Hank,We'll talk later. Just go.
Cop,Where'd he go? Where the hell'd he go? Wait. Got him. Looks like it's going down. Take 'em!
Walter,I think they bought it.
Cop,"Absolutely. Textbook bust, sir. Yes, sir. Looks like we got a full pound of the blue stuff. And Heisenberg's real name? James Kilkelly. Thank you very much. It was my pleasure."
Jane,"You weren't home, so I let the delivery guys in. I hope that's okay."
Jesse,Absolutely.
Jane,So you bought a bed. What is that? A king? Pillow top?
Saul,Oh my God. You really are a chemistry teacher. You mind? I was terrible at chemistry. I'm more of a humanities guy.
Walter,How did you find me?
Saul,"We should talk about that. It should be much, much harder for people to track you down. My P. I. charged me for three hours, so I seriously doubt it took him more than one."
Walter,"So this is what, blackmail?"
Saul,"Walter, I'm your lawyer. Anything you say to me is totally privileged. I'm not in the shake-down racket. I'm a lawyer. Even drug dealers need lawyers, right? Especially drug dealers."
Walter,"So what, you're just doing this out of the kindness of your heart?"
Saul,"Come on. Have you seen my hourly rate? By the way, where do you keep the money? Is it in your mattress? Is it in a jelly jar, buried in the side yard? You know, this kid Mayhew may be the first of your guys to get picked up, but he won't be the last. And if I can find you, how far behind can the cops be?"
Walter,I don't understand. What exactly are you offering to do for me?
Saul,What did Tom Hagen do for Vito Corleone?
Walter,I'm no Vito Corleone.
Saul,"No shit! Right now, you're Fredo. But with some sound advice and the proper introductions, who knows? I'll tell you one thing, you've got the right product. Anything that gets the DEA's panties in this big a bunch you're onto something special. And I would like to be a small and silent part of it. Food for thought, yeah? So if you want to make more money and keep the money that you make ""Better call Saul!"""
Marie,These people. Pathetic. I already read that one anyway. Kleinman has better magazines.
Walter,"You know, you guys really don't need to hang around. We won't even get the results till next week."
Hank,"Buddy, we're going to be here. You kidding me?"
Marie,"It is a full PET/CT, correct? You definitely want the PET/CT and not just the PET."
Skyler,It's a PET/CT.
Marie,"Good. That's what you want. Some places skimp, and they only do the PET. I'm not naming any names, but I just still don't understand why you don't go to Kleinman."
Skyler,This is where Walt's doctor is.
Marie,"With us, you wouldn't have to wait until next week to get the results. I'm sorry, but these scans are not that difficult to read. I could take one look at Walt's and tell you immediately how he's doing. Really. Doctors like people to think that they're so much smarter than the technicians, but you would be surprised how much they come to us for input."
Walter,"Never turn down a chance to hit the bathroom, huh? Excuse me."
Guy,You all right in there? You okay?
Walter,"I'm fine, thank you."
Technician,"Sir, you can go back to your changing room and get dressed."
Walter,"So, how'd we do?"
Technician,You did fine.
Walter,See anything?
Technician,"I'm just a technician, Mr. White. Dr. Delcavoli will go over the results with you next week."
Saul,"Sorry. Actually, the money laundering aspect is fairly straightforward. But I gotta tell ya, the not-telling-your-wife aspect? Most people want to know why they suddenly got rich."
Walter,"If she finds out, it's after I'm gone."
Saul,How much time they giving you?
Walter,Weeks. Maybe.
Saul,"Sorry to hear it. I was hoping we could make some real money together. Oh, well. Let's crunch some numbers. How much money are we laundering?"
Walter,"At this time, $16,000."
Saul,How long have you been doing this?
Walter,We've had some extenuating circumstances.
Saul,"Apparently. All right, 16,000 laundered at 75 cents on the dollar, minus my fee, which is 17%, comes to $9,960. Congratulations. You just left your family a second hand Subaru."
Walter,"We'll just have to cook more, a lot more."
Saul,"Yeah, that's my legal opinion. Make hay while the sun is still shining."
Skyler,"You know, we should do something this weekend. Get our minds off the test results?"
Walter,"Actually, I'm thinking I should go see Mom."
Skyler,Really?
Walter,"You know, I never did call her."
Skyler,You're expecting the news from the scan to be bad. God. I need you to stay positive with me here. I am.
Walter,"Positive is good. I'm all for positive, but positive doesn't change facts. All right? It doesn't change the need to be prepared."
Skyler,"I know. I'm just trying to be hopeful, okay? You know? Forgive me."
Walter,"Look, I need to know Mom's going to leave you something if I'm no longer around. I just need to get that straight. That's all. And believe me, I'm going to earn every penny of it, too. Complaining about her nurses the entire time. ""Juanita is hiding my ashtray."" A 30-minute discourse about how the sugar packets are suddenly disappearing. And, oh, she's counting every one of them. You know? I'll be lucky if I get a word in edgewise."
Skyler,I actually think the news from the scan is going to be good. Perhaps you should prepare for that.
Jane,We should do something.
Jesse,"Yeah, we should."
Jane,"No, something else. We should go somewhere. Have you been to the Georgia O'Keeffe Museum?"
Jesse,Is that the one with the A-bombs?
Jane,Georgia O'Keeffe. She's a painter. You've never heard of Georgia O'Keeffe?
Jesse,Who is it?
Jane,"Boy, you need some educating."
Jesse,"Yes, I do. Come here."
Jane,Why don't we go up to Santa Fe? We'll make a day of it.
Jesse,You want to go all the way to Santa Fe for a museum?
Jane,"Yep, we're going. Get up."
Jesse,Why can't we just go to the movies or putt-putt? It's the shit.
Jane,"A little culture won't k*ll you. Besides, you might like it. A lot of her paintings look like vaginas."
Jesse,Really?
Jane,Is there still cereal?
Jesse,"Yo, if I know you, leave a message."
Walter,"Where the hell are you? Pick up the phone. Hello, Jesse. Pick up."
Jesse,"Hold on, hold on. Sorry. One sec. What?"
Walter,I've been trying to reach you. Where's your drop phone?
Jesse,I've been busy.
Walter,Clear your social calendar. We have to cook.
Jesse,What? Today?
Walter,"No. You'll need today at least to gather supplies. Now, we're going to need all new glassware, heating mantles, and about a hundred pounds of ice. Do you have a paper and pencil? You should be writing this down."
Jesse,Go shopping yourself. I got plans.
Walter,"Smoking marijuana, eating Cheetos, and mastarbating do not constitute plans in my book."
Jesse,"Screw you and your book, man. I'm going to a museum in Santa Fe, not like you need to know."
Walter,You're going to a museum?
Jesse,Georgia O'Keeffe.
Walter,Georgia O’Keeffe?
Jesse,She's a painter? Duh? She does these v*g1n* pictures. Or paintings. Or just painted. I don't know.
Walter,What are you even talking about?
Jesse,"Why am I explaining myself to you? It's none of your damn business what I'm doing. All you need to know is I ain't cooking, shopping or whatever."
Walter,Let me explain something to you. You and I need to cook through to next Tuesday.
Jesse,Tuesday? Four days straight?
Walter,"Like it or not, we have no choice."
Jesse,"And why, exactly, is that?"
Walter,Our methylamine. It's going bad.
Jesse,What?
Walter,"It's losing its chemical potency. Now, unless stealing another barrel sounds good to you."
Jesse,"Hell, no."
Walter,We have to act fast before it goes to waste. You have paper and pencil? Come on.
Jesse,"All right, all right. Go."
Skyler,I wish you didn't have to do this.
Walter,"Me, too. But I'll be back before you know it, and you can always call if you need me."
Skyler,"And risk talking to your mother? That'd have to be some emergency. Love you. Fly safe, okay?"
Walter,You brought a meth lab to the airport?
Jesse,What? You said we were in a hurry. I saved us a trip.
Walter,"Did you get everything? All six? With reflux condensers? Yes, like I said. Just go. Drive. Go, go."
Jesse,"Good morning to you, too, man."
Walter,Three entire bags of Funyuns?
Jesse,What? Funyuns are awesome.
Walter,God.
Jesse,More for me.
Walter,"How about something with some protein, maybe? Something green, huh?"
Jesse,"Man, I'm getting no service."
Walter,How are you even alive?
Jesse,"Yo, check your phone. You get any bars?"
Walter,I've got a signal.
Jesse,"Let me use yours, would ya?"
Walter,Absolutely not. I have to assume Skyler checks my phone records. You know that.
Jesse,It's not business. It's personal.
Walter,"Oh, personal. What, female?"
Jesse,Maybe.
Walter,"Absolutely, that's all I need. Skyler hits ""redial"" and some stripper answers."
Jesse,"Look, she's not a stripper. Okay, dickwad?"
Walter,Sorry. My wife checks. Drinking water? Is that all we've got? Ten gallons?
Jesse,"What, you planning on taking a bath in it?"
Walter,"Oh, God. Not there. That is our work station."
Jesse,Our work station.
Walter,That's right. Why don't you try to find a place where it won't get lost? Considering this is our only set and we are a million miles from nowhere.
Jesse,Why don't you try sticking them up your ass sideways?
Jesse,2.35 pounds.
Walter,2.35.
Jesse,That's the last of it. How many total?
Walter,19.
Jesse,Dollar-wise? How much?
Walter,"Well, median weight 2.2 pounds. That's 41.8, call it 42 pounds at...what are we selling it for these days?"
Jesse,40 a pound.
Walter,"$40,000?"
Jesse,You said raise the prices.
Walter,"All right, that's 40 times 42, minus distribution charges."
Jesse,What? What?
Walter,"$672,000."
Jesse,All that?
Walter,Each.
Jesse,Each?
Walter,Each.
Jesse,Six hundred and...
Walter,Seventy-two thousand dollars each.
Jesse,"Each! Yes! Hell, yeah! Come high, baby! Come on! Yes! Come on! Well, there goes the generator. I think that's it for the gas. Perfect timing, yo."
Walter,How do you figure that?
Jesse,What do you mean? We're done cooking.
Walter,"I am not done until this barrel is empty. Look at that. I'd say we still got 10, 12 gallons of methylamine. Come on, where's your ambition?"
Jesse,"Jesus. Seriously? We are way ahead of schedule. Plus, the genny needs gas, we're almost out of propane, and my back is k*ll*ing me from that piece-of-crap cot. Come on, can we at least just take the night off. Look, I don't have to take you back till Tuesday, right? So we come back tomorrow, strap on the sizzle and glass up the rest. Come on! There's got to be a Denny's out there someplace. Grand Slam? A hot shower? A bed?"
Walter,Separate rooms.
Jesse,That's a given. The battery's dead.
Walter,"Jesse, back when I asked you to put the keys in a safe place, where did you put them?"
Jesse,I left 'em right here in the ignition.
Walter,Son of a bitch.
Jesse,This is not my fault. The buzzer didn't buzz.
Walter,The what?
Jesse,"The buzzer. It buzzes when you put the keys in to let you know that the battery's on. I know that. It didn't buzz. Look, I didn't turn the key or anything. I'm not stupid. Did you hear the buzzer buzz? It's faulty. It's a faulty mechanism."
Walter,Is this a genetic thing with you? Is it congenital? Did your mother drop you on your head when you were a baby?
Jesse,"The buzzer did not buzz, and you made me move the keys in the first place, remember?"
Walter,"I see your point. Your imbecility being what it is, I should have known to say, ""Jesse, don't leave the keys in the ignition the entire two days!"""
Jesse,"I wanted to leave them on the counter, bitch! Oh, I'm sorry. The work station."
Walter,"All right, so we need to jump the battery somehow."
Jesse,How?
Jesse,You going to be okay?
Walter,Damn it.
Jesse,"What's it taste like? Bad, huh?"
Walter,"This is good. Right here. There. Here. Red to red, black to black. Positive, negative. All right. Start it up."
Jesse,The hell's wrong with this thing?
Walter,You have to really pull.
Jesse,I am.
Walter,Really pull. Not like a girl.
Jesse,"You know what? Pull this. I am pulling. It just needs to warm up a little. Oh, Jesus."
Walter,"Well done. As always. Just, well done."
Jesse,"God. Come on, you bitches. Hear me now. Damn it! This is stupid. Okay, now we have to use your phone."
Walter,This is ruined. Do you understand? Just ruined.
Jesse,I understand you hooked it up wrong and you blew it up.
Walter,That is not what happened.
Jesse,How do you know?
Walter,I wasn't the one who dumped out the last of our water. That's what I know.
Jesse,There was a fire. Excuse me for thinking on my feet.
Walter,"Is that, you were thinking. Now that we have identified the problem. You and thinking, that's the problem."
Jesse,"Look, somebody is going to have to pick us up. Your wife is not going to notice one little call. Mr. White, come on."
Walter,"All right, look. Make it snappy. The roaming drains the battery."
Jesse,"All right. Yo, Skinny, hey. Listen, I need you to come pick us up. Now, all right? We're stuck out here. You got a pen for directions? A pencil's fine, retard. Just something to write with. It doesn't matter. All right, so you ready? So you're going to head west on the 40 for, like, what, 30 miles? And you're just gonna go past the casino with the big arrows in the parking lot. Big arrows, giant arrows. They light up and blink and shit. You can't miss them. But then you're gonna want to take it slow because there's this dirt road right before this white sign with a 3 on it, okay? Now, you're going to be way, way out in the boonies, okay? Like, crazy far, so you just got to keep heading down that dirt road for what?"
Walter,About another 15 miles.
Jesse,Really? That far?
Walter,Hurry up. The battery.
Jesse,"Just go down that road for, like, 15 more miles. I mean, we're way the hell out here. And yo, listen. Bring water. Leave now. Here. He's coming."
Jesse,"There was this guy on the Discovery Channel who broke his leg mountain biking, and he had to drink urine for, you know, just until the forest ranger found him. He said it tasted like really hot, really old soda. We should just call. You know? I'll be quick. Just be like, ""Yo, where are you?"""
Walter,All right.
Jesse,"Come on. Yo, where are you? So you saw the white sign? He's almost here. Oh, man. We're getting really freaked out. All right, so you're on the dirt road? He's on the dirt road. Good. You just crossed the river? Have you seen anything?"
Walter,"Wait, wait. What river? What river? What the hell river you talking about, man? There's no river. Can you...phone's dead. Now what? What now?"
Walter,Come on. Seriously?
Jesse,What's this?
Walter,I'm trying to trickle-charge the battery.
Jesse,Seriously? Just by turning that thing?
Walter,"The commutator. It's the part which generates the electricity. Usually, this little piston engine turns it, but considering it's lying here completely totaled...anyway. Apply a little elbow grease. It'll take longer. A lot longer. But theoretically, it should work."
Jesse,Theoretically.
Walter,It has to work. You understand?
Jesse,Can I try? How much longer?
Walter,I don't know.
Jesse,You hanging in?
Walter,I'm good.
Jesse,It's got to be ready by now. Right?
Walter,"Give it a little longer, just to make sure we're..."
Jesse,"Methylamine doesn't spoil, does it? That's not why we're here. Lie much? Push. Come on. Please. God. Please. Why couldn't I have just gone to Santa Fe? Why? What are you doing?"
Walter,I had this coming.
Jesse,What?
Walter,I have it coming. I deserve this.
Jesse,"You snap out of it. First off, everything you did, you did for your family. Right?"
Walter,All I ever managed to do was worry and disappoint them and lie. God. All the lies. I can't even I can't even keep them straight in my head anymore.
Jesse,You know what? Screw this. I'm walking. You can come or not. Where's my other shoe?
Walter,"Jesse, your body is running dangerously low on electrolytes. Sodium, potassium, calcium. And when they're gone, your brain ceases to communicate with your muscles. Your lungs stop breathing, your heart stops pumping. You go marching out there, and within an hour, you will be dead."
Jesse,You need to cut out all your loser cry-baby crap right now and think of something scientific!
Walter,"Something scientific, right."
Jesse,"What? Come on. You're smart. You made poison out of beans. All right, look. We got an entire lab right here. All right? How about you take some of these chemicals and mix up some rocket fuel? That way, you can just send up a signal flare. Or you make some kind of robot to get us help, or a homing device or build a new battery or...wait. No. What if we just take some stuff off of the RV and build it into something completely different? Like a dune buggy. That way, we can just dune buggy...What is it? What?"
Walter,"Do you have any money? Change, I mean. Coins."
Jesse,I got a bunch of them.
Walter,Then gather them. And washers and nuts and bolts and screws and whatever little pieces of metal we can think of that is galvanized. It has to be galvanized or solid zinc.
Jesse,"Solid zinc, right."
Walter,And bring me brake pads. The front wheels should have discs. Take them off and bring them to me.
Jesse,Brake pads. What are we building?
Walter,You said it yourself.
Jesse,A robot?
Walter,A battery. Move!
Jesse,This doesn't look like any battery I ever saw.
Walter,"Well, trust me. It is a battery. Or rather, one cell of a battery. Here. Cut up the last two sponges. Remember the electrolytes? Think about it. A battery is a galvanic cell. It's no more than an anode and a cathode separated by an electrolyte, right?"
Jesse,Right.
Walter,"Well, anyway. On one side, we have mercuric oxide and graphite from your brake pads. This is the cathode. This is the positive terminal. This is where the supply of current flows out from. You see? Then, here, I'll show you. On the opposite side is our anode. This, it's zinc. It's what we find in our coins and anything galvanized."
Jesse,"So, the sponge is the electrolyte?"
Walter,"No, the potassium hydroxide is the electrolyte. But yes, that's what I'm soaking the sponges in. Good. Good. And now, what shall we use to conduct this beautiful current with? What one particular element comes to mind?"
Jesse,A wire.
Walter,Copper.
Jesse,"Well, I mean..."
Walter,It's copper. The only question now is will this supply enough current? And how many cells will we need? Maybe we've only got enough material for six. Put the lid on. Wait. Positive. Cathode. Anode. Damn. That is good. That's very good. Here we go.
Jesse,How's the...
Walter,It's fine. I know I can trust you to…
Jesse,"Yeah. Whatever happens, your family will get your share. So I'll be hearing from you."
Dr. Delcavoli,"How's everyone doing? Is that baby ever going to come out, you think?"
Skyler,I know enough already. It's…
Dr. Delcavoli,"I'm teasing. Everything in its time. Walt, I have your scan results. And you're showing signs of remission."
Marie,My God.
Dr. Delcavoli,"I want to clarify. There are some misconceptions about what remission signifies. It does not mean that the patient is cured. To classify someone as in remission, we only need to determine that the tumor hasn't grown."
Hank,That it hasn't grown? Jesus.
Dr. Delcavoli,"Technically speaking, a tumor can remain the exact same size it was before and the patient could still be in remission. Now, in Walt's case, with a stage 3 adenocarcinoma, I like to see, I hope to see at least a 25 to 35% reduction in tumor mass, something to tell me that the cancer has responded to the therapy. Everybody still with me?"
Walter,And how has my cancer responded?
Dr. Delcavoli,Your tumor has shrunk by 80%.
Walter,My God.
Skyler,"Wait, I'm sorry. I'm really confused. Isn't 80% a lot?"
Walter Jr,Mom.
Skyler,"Okay, but, I'm…"
Walter,"Sweetheart, you were right. It's very good news. It's very good news."
Skyler,Are you kidding me?
Hank,"Just when I try to get out, they pull me back in."
Dr. Delcavoli,"Now, that cough is the other thing we need to discuss. According to your scan, Walt, you have radiation pneumonitis. It's okay. This is fairly common. See that scary-looking thing there? That's tissue inflammation. That's a reaction to your radio therapy. It's usually not serious, but it can produce a cough like that. I'll prescribe some prednisone."
Walter,"Tissue inflammation? Are you sure about that? Because the other day, I was coughing up some blood."
Skyler,What?
Dr. Delcavoli,"You probably have a tear in your esophagus from the coughing, and that can be very serious. You could rupture and bleed to death. We're going to have to deal with that before you leave here today."
Skyler,Wait a minute. When did this happen? Why didn't you tell me?
Walter,I'm sorry. I…
Dr. Delcavoli,"No more secrets, Walt. With something like this, you have to call me. Immediately. Now, with these results, we're not completely out of the woods. But now at least we have some options. The most important of which is time. We'll have more to discuss in the next few weeks. But for now, I'd say that you folks have earned some celebrating."
Skyler,"You're not thinking about going to work today, are you?"
Walter,Thought I would. That inhaler really seems to be doing the trick. What?
Skyler,"Just take the rest of the week. Please. You've earned it. Don't push it. Besides, I want you well for the weekend."
Walter Jr,Mom wants to par-tay.
Skyler,"It's just a little get-together, that's all. Sunday afternoon, maybe? Nothing too big. Just family and a few friends. We've got a lot to celebrate. Don't you think?"
Walter,Sounds good.
Skyler,"Now, what are you supposed to do today?"
Walter,Nothing.
Skyler,Excellent. Brownie points for taking a nap.
Walter,Can you meet?
Jesse,"I thought maybe you might have, you know, kicked. Signed off. I was even checking the obits."
Walter,No such luck.
Jesse,"So where does it stand? Coughing up blood, giving speeches like, ""I deserve this. I'm an assh*le."" What's the upshot?"
Walter,The upshot. The upshot is that I have radiation pneumonitis.
Jesse,Damn.
Walter,"Actually, it's not as bad as it sounds. It's a fairly common occurrence, easily treated. In fact, the news is all good."
Jesse,"What do you mean, good? You mean, like, good good? You mean, like, remission good?"
Walter,Remission. Not to imply I'm cured. I still have cancer. But there's been a significant reduction in the tumors.
Jesse,How significant?
Walter,80%.
Jesse,Dude! No way!
Walter,"Now, I'm not out of the woods yet, not by any stretch, but ""options"" is the word they keep bandying about."
Jesse,"That's awesome! Serious? That's great, man. I mean, my aunt, she never I mean, at your stage, I didn't think that could happen. Mr. White, you kicked its ass, yo! You must be so psyched."
Walter,"Of course. I am. Now we. I mean, what do we..."
Jesse,"I almost forgot. So, how do you want to, you know, proceed in light of this kick-ass news?"
Walter,We'll take our time and stay cautious. Sell off what we have. And then I guess I'm done.
Skyler,"Everyone? Hey, you guys. I would like to make a toast, with my non-alcoholic beverage."
Hank,Somebody k*ll the music.
Skyler,"I know one party can't begin to repay all your support and your many, many kindnesses. But then again, Hank does make one mean margarita. We really do want to thank you. These last few months have been a challenging time, to put it mildly. But I have to say Walt's come through it like a champ. Honey, I'm so proud of you. I'm gonna stop with the sappy stuff. But it's true. It really is. And for the first time in a long time, we are so excited about the future. Anyway, I want to also express my gratitude to two very special people who couldn't be here today. But they send their regrets and their warm wishes. Gretchen and Elliott Schwartz, for those of you who don't know them are well, they're heroes. They are incredibly generous friends who made the amazing offer to pay for Walt's treatment. And they did. So to Gretchen and Elliott."
Hank,How about the man of the hour? Come on!
